prox_angle,distal_angle
-3.2046267728926917e-06,-0.015828387744375526
-0.01586164906218329,-0.015828275763190278
-0.03172009196951138,-0.015828140981589925
-0.047578533473317454,-0.015827983817587894
-0.06343697369767408,-0.01582780470258488
-0.0792954127660472,-0.015827604080747504
-0.09515385080118183,-0.015827382408382825
-0.11101228792498898,-0.015827140153303984
-0.1268707242584363,-0.015826877794203564
-0.14272915992143992,-0.015826595820010128
-0.15858759503276304,-0.01582629472925957
-0.1744460297099135,-0.015825975029452252
-0.19030446406904694,-0.015825637236419665
-0.2061628982248727,-0.015825281873688674
-0.22202133229056217,-0.015824909471849103
-0.2378797663776619,-0.01582452056792637
-0.2537382005960094,-0.015824115704753013
-0.26959663505364967,-0.01582369543034955
-0.28545506985676167,-0.015823260297309627
-0.3013135051095813,-0.01582281086218772
-0.3171719409143315,-0.015822347684897972
-0.33303037737115454,-0.01582187132811635
-0.3488888145780486,-0.01582138235669431
-0.3647472526308065,-0.015820881337074936
-0.3805377505273102,-0.01986877477710689
-0.39622938704238764,-0.0281264053391748
-0.411882030024577,-0.03557399627364956
-0.42727366383673726,-0.04499028204174278
-0.4419834062888388,-0.05403829942907432
-0.45714330122587526,-0.061742368751142244
-0.47230129027176004,-0.07698099312026102
-0.48834502286749604,-0.10412799378947835
-0.504497445552763,-0.11278550822244318
-0.5202134745696445,-0.12463893443030069
-0.5359530988922209,-0.1367459863477186
-0.5514609518218748,-0.14678374576111716
-0.5669403734892594,-0.15740774602432273
-0.5836120957355281,-0.16917282379597323
-0.5988662697588806,-0.18139401759325388
-0.6141226808104249,-0.19425092270517466
-0.6292670761966922,-0.20703277370384665
-0.6444965456590557,-0.21931942346283226
-0.6590362483222125,-0.2324506625856723
-0.6740206592343437,-0.24252733188498377
-0.6882986361876378,-0.2566960985413881
-0.7026837412907642,-0.2649413071961191
-0.7176048702793573,-0.28237177357672166
-0.7317051606845117,-0.29241103743329533
-0.7456449667503511,-0.30591202336423773
-0.7615262524661505,-0.3373098796549432
-0.7758595946452957,-0.3601644716095407
-0.7890562753532745,-0.37505022686598216
-0.802805032589257,-0.3857147493805399
-0.828608615765373,-0.4634597669131943
-0.8399935039880314,-0.4608727385352567
-0.8560486013895267,-0.46463412036293145
-0.869792302652156,-0.479290793323709
-0.8840121637843473,-0.5008915313013276
-0.8979768108509342,-0.5242247984301674
-0.9091583636748153,-0.5332579671142279
-0.9358675124052805,-0.5438598581327536
-0.9538897557360637,-0.5521684050791708
-0.9678476011998748,-0.5579944184220917
-0.9814013810467695,-0.5631605213451045
-1.005133667872347,-0.5724339219968253
-1.0231270612162628,-0.5821057647040251
-1.0390658709950478,-0.585299433244458
-1.0558667558993255,-0.5885581912649809
-1.070466665532314,-0.5902941290510453
-1.0892027387833174,-0.5934249506542317
-1.1055895492072043,-0.5924959250175527
-1.1219996604809932,-0.5961429666562496
-1.1427309173990539,-0.5977938725606612
-1.1560619546108681,-0.5974758406477805
-1.1766507334301555,-0.5924950100243017
-1.1896493840323161,-0.5893747517025202
-1.206006681141755,-0.5893615293072839
-1.221725856499161,-0.590576579141731
-1.2421371571357183,-0.5888721839625177
-1.2549768485038613,-0.5883431505315431
-1.269724186186724,-0.5885021490253277
-1.2854253234455963,-0.5882413073591903
-1.3007060054821518,-0.5877452283643154
-1.315952777703015,-0.5867104030290798
-1.3341902613830572,-0.5832075292633521
-1.349949271032986,-0.5826401123840351
-1.3653383276144222,-0.5805003122943748
-1.3811968208734682,-0.5782257265934756
-1.3973071546115725,-0.5805812696217774
-1.4139917953698995,-0.5765235325453802
-1.4281310019373226,-0.5754947323821649
-1.443770548628734,-0.573123034729608
-1.4584350700576103,-0.5710730690511131
-1.4769970106566883,-0.5701193098763305
-1.4941943865230891,-0.5694795592302844
-1.5098263300897716,-0.5704745350536784
-1.5215571131500423,-0.5692781936306578
-1.5410961847598466,-0.5654962359550733
-1.5549999144534707,-0.5678151767675832
-1.5701305811080706,-0.5687403831742405
