prox_angle,distal_angle
8.137702700154035e-06,-0.015816475971393025
-0.0015632492290215665,-0.01581610142772165
-0.0031347541252660515,-0.01581592906869445
-0.00470625929762288,-0.015815756055073092
-0.006277764740975049,-0.015815582396750353
-0.007849270455215083,-0.015815408103528293
-0.009420776440210077,-0.01581523318512426
-0.010992282695801985,-0.0158150576511726
-0.01256378922180811,-0.01581488151122376
-0.014135296018021609,-0.015814704774742245
-0.01570680308421195,-0.01581452745111074
-0.017278310420125488,-0.015814349549627005
-0.018849818025485764,-0.01581417107950316
-0.02042132589999421,-0.015813992049869045
-0.021992834043330467,-0.015813812469768877
-0.023564342455152862,-0.01581363234816378
-0.02513585113509894,-0.01581345169392882
-0.02670736008278592,-0.015813270515857403
-0.02827886929781104,-0.01581308882265767
-0.02985037877975217,-0.01581290662295391
-0.03142188852816814,-0.0158127239252877
-0.03299339854259921,-0.015812540738116235
-0.03456490882256756,-0.015812357069813338
-0.03613641936757762,-0.01581217292867057
-0.03770793017711663,-0.015811988322895588
-0.03927944125065493,-0.0158118032606139
-0.04085095258764647,-0.015811617749869177
-0.04242246418752918,-0.015811431798622416
-0.043993976049725436,-0.01581124541475202
-0.04556548817364238,-0.015811058606056506
-0.04713700055867232,-0.015810871380251657
-0.0487085132041933,-0.015810683744973884
-0.050280026109569165,-0.015810495707777233
-0.05185153927415034,-0.015810307276136238
-0.05342305269727389,-0.01581011845744687
-0.05499456637826396,-0.01580992925902366
-0.05656608031643229,-0.015809739688103897
-0.05813759451107846,-0.01580954975184433
-0.05970910896149021,-0.01580935945732463
-0.06128062366694398,-0.015809168811546353
-0.06285213862670502,-0.01580897782143396
-0.06442365384002777,-0.01580878649383484
-0.06599516930615663,-0.01580859483551949
-0.06756668502432557,-0.015808402853181757
-0.06913820099375904,-0.015808210553441737
-0.07070971721367193,-0.015808017942843026
-0.07228123368327023,-0.015807825027854747
-0.07385275040175103,-0.015807631814872117
-0.07542426736830302,-0.0158074383102165
-0.07699578458210682,-0.015807244520136467
-0.07856730204233495,-0.01580705045080739
-0.08013881974815268,-0.015806856108333284
-0.08171033769871767,-0.015806661498745413
-0.08328185589318095,-0.015806466628005462
-0.0848533743306866,-0.015806271502003102
-0.08642489301037252,-0.015806076126558755
-0.08799641193137023,-0.015805880507424017
-0.08956793109280539,-0.015805684650280035
-0.0911394504937982,-0.015805488560740384
-0.09271097013346331,-0.01580529224435137
-0.09428249001091042,-0.01580509570659059
-0.09585401012524422,-0.015804898952870433
-0.09742553047556493,-0.015804701988536337
-0.0989970510609683,-0.015804504818868442
-0.10056857188054602,-0.015804307449081113
-0.10214009293338577,-0.01580410988432524
-0.10371161421857147,-0.01580391212968775
-0.10528313573518389,-0.015803714190191727
-0.10685465748230033,-0.01580351607079665
-0.108426179458995,-0.015803317776402332
-0.10999770166433949,-0.015803119311844707
-0.11156922409740268,-0.01580292068190014
-0.11314074675725103,-0.01580272189128271
-0.11471226964294874,-0.01580252294464908
-0.11628379275355816,-0.01580232384659424
-0.11785531608813965,-0.015802124601656385
-0.11942683964575192,-0.015801925214313887
-0.12099836342545241,-0.015801725688988882
-0.12256988742629704,-0.01580152603004519
-0.12414141164734083,-0.015801326241792438
-0.12571293608763767,-0.015801126328480984
-0.1272844607462407,-0.01580092629430916
-0.12885598562220282,-0.01580072614341864
-0.1304275107145758,-0.015800525879897512
-0.13199903602241184,-0.01580032550778018
-0.1335705615447624,-0.01580012503104776
-0.13514208728067953,-0.01579992445363008
-0.13671361322921477,-0.01579972377940386
-0.13828513938942066,-0.015799523012194696
-0.13985666576034947,-0.0157993221557776
-0.14142819234105483,-0.01579912121387726
-0.1429997191305903,-0.015798920190168743
-0.1445712461280108,-0.01579871908827804
-0.14614277333237202,-0.015798517911782464
-0.1477143007427308,-0.01579831666484263
-0.14928582835814488,-0.01579811547672468
-0.15085735617767373,-0.015797914224654156
-0.15242888420037845,-0.01579771291190045
-0.15400041242532095,-0.01579751154179917
-0.1555719408515655,-0.015797310117645146
-0.15714346947817773,-0.015797108642688743
-0.15871499830422547,-0.015796907120136143
-0.16028652732877816,-0.015796705553149406
-0.16185805655090735,-0.01579650394484706
-0.16342958596968707,-0.01579630229830515
-0.16500111558419334,-0.015796100616558277
-0.1665726453935045,-0.015795898902598287
-0.16814417539670146,-0.015795697159376444
-0.16971570559286756,-0.015795495389802967
-0.17128723598108872,-0.015795293596748132
-0.17285876656045368,-0.015795091783042777
-0.1744302973300538,-0.015794889951477823
-0.17600182828898323,-0.015794688104806456
-0.1775733594363392,-0.015794486245742277
-0.17914489077122175,-0.015794284376963313
-0.180716422292734,-0.01579408250110826
-0.1822879539999823,-0.01579388062077906
-0.183859485892076,-0.015793678738543468
-0.18543101796812758,-0.015793476856930673
-0.1870025502272535,-0.01579327497843752
-0.1885740826685726,-0.015793073105521856
-0.19014561529120777,-0.015792871240610632
-0.19171714809428525,-0.01579266938609557
-0.19328868107693464,-0.015792467544334304
-0.19486021423828925,-0.01579226571765232
-0.19643174757748602,-0.015792063908340846
-0.1980032810936653,-0.0157918621186604
-0.19957481478597158,-0.01579166035083866
-0.20114634865355277,-0.01579145860707277
-0.20271788269556063,-0.015791256889527778
-0.20428941691115085,-0.015791055200339115
-0.20586095129948287,-0.015790853541610833
-0.20743248585972007,-0.015790651915419514
-0.20900402059102993,-0.01579045032380931
-0.21057555549258364,-0.015790248768797213
-0.2121470905635567,-0.015790047252372305
-0.2137186258031283,-0.015789845776494237
-0.21529016121048186,-0.015789644343095106
-0.21686169678480513,-0.015789442954079285
-0.21843323252528968,-0.015789241611325423
-0.22000476843113112,-0.01578904031668402
-0.22157630450152985,-0.01578883907198091
-0.2231478407356896,-0.015788637879014248
-0.22471937713281898,-0.015788436739557682
-0.22629091369213067,-0.01578823565536039
-0.2278624504128413,-0.015788034628144872
-0.22943398729417228,-0.015787833659610496
-0.231005524335349,-0.015787632751433196
-0.23257706153560104,-0.015787431905262828
-0.23414859889416265,-0.01578723112272786
-0.2357201364102722,-0.01578703040543257
-0.23729167408317223,-0.01578682975495982
-0.23886321191211,-0.015786629172868525
-0.2404347498963369,-0.01578642866069694
-0.24200628803510887,-0.015786228219959775
-0.24357782632768593,-0.01578602785215188
-0.24514936477333285,-0.01578582755874663
-0.24672090337131844,-0.01578562734119569
-0.2482924421209162,-0.015785427200931818
-0.24986398102140395,-0.015785227139366132
-0.2514355200720637,-0.015785027157890354
-0.25300705927218237,-0.015784827257877273
-0.2545785986210506,-0.015784627440678885
-0.2561501381179641,-0.015784427707629934
-0.2577216777622224,-0.01578422806004469
-0.25929321755313023,-0.01578402849922033
-0.26086475748999605,-0.01578382902643541
-0.26243629757213294,-0.015783629642950717
-0.26400783779885806,-0.015783430350008815
-0.26557937816949395,-0.01578323114883521
-0.2671509186833665,-0.015783032040639657
-0.2687224593398063,-0.015782833026613197
-0.2702940001381485,-0.01578263410793121
-0.27186554107773275,-0.01578243528575259
-0.2734370821579029,-0.01578223656122053
-0.2750086233780069,-0.01578203793546185
-0.27658016473739755,-0.015781839409587942
-0.2781517062354316,-0.015781640984696206
-0.2797232478714705,-0.01578144266186665
-0.28129478964487986,-0.015781244442166213
-0.28286633155502955,-0.01578104632664677
-0.28443787360129386,-0.015780848316345908
-0.2860094157830514,-0.015780650412287392
-0.287580958099685,-0.015780452615479394
-0.28915250055058167,-0.015780254926919104
-0.29072404313513317,-0.015780057347588184
-0.2922955858527349,-0.015779859878456006
-0.29386712870278714,-0.015779662520478268
-0.2954386716846937,-0.015779465274598937
-0.297010214797863,-0.015779268141748518
-0.29858175804170806,-0.015779071122844362
-0.3001533014156452,-0.01577887421879391
-0.30172484491909557,-0.01577867743049051
-0.30329638855148466,-0.015778480758816386
-0.30486793231224124,-0.01577828420464245
-0.30643947620079903,-0.015778087768828546
-0.3080110202165954,-0.015777891452221374
-0.3095825643590721,-0.015777695255659512
-0.311154108627675,-0.015777499179968218
-0.3127256530218538,-0.015777303225962897
-0.31429719754106233,-0.015777107394449204
-0.3158687421847584,-0.015776911686221584
-0.3174402869524041,-0.015776716102064468
-0.31901183184346515,-0.0157765206427524
-0.3205833768574118,-0.015776325309050872
-0.32215492199371737,-0.015776130101714025
-0.3237264672518602,-0.015775935021488288
-0.32529801263132174,-0.015775740069110363
-0.3268695581315876,-0.01577554524530643
-0.32844110375214747,-0.01577535055079572
-0.33001264949249465,-0.01577515598628744
-0.33158419535212635,-0.01577496155248209
-0.3331557413305438,-0.01577476725007257
-0.33472728742725194,-0.015774573079742314
-0.3362988336417594,-0.015774379042166747
-0.33787037997357855,-0.01577418513801422
-0.33944192642222587,-0.015773991367943278
-0.3410134729872207,-0.015773797732606655
-0.34258501966808746,-0.015773604232647842
-0.34415656646435333,-0.0157734108687041
-0.3457281133755492,-0.015773217641404217
-0.3472996604012097,-0.01577302455137065
-0.34887120754087353,-0.015772831599217337
-0.3504427547940823,-0.015772638785552934
-0.3520143021603819,-0.0157724461109781
-0.3535858496393207,-0.01577225357608782
