prox_angle,distal_angle
-2.1316542740537473e-05,0.019094145854289465
-0.014009895083371646,0.002790500175319171
-0.028009858625611023,-0.013799405141932517
-0.04200992252156788,-0.030425087119718492
-0.05600995902146406,-0.0470762707140275
-0.07000997208782352,-0.0637470923638899
-0.0840099615378157,-0.08043193819825131
-0.09800992159731113,-0.09712525833204491
-0.1120098451436594,-0.11382180836868863
-0.12600977110573663,-0.1305150296999393
-0.14000975431526405,-0.1472043768242816
-0.15400971710266648,-0.16388341149184682
-0.16800966361232517,-0.18054817911974794
-0.1820095942204485,-0.19719492776493466
-0.19600950945887807,-0.21382014638061037
-0.21000940991668726,-0.23042055164992356
-0.2240092962038865,-0.2469930779173497
-0.23800916893803623,-0.26353486825917877
-0.25200902873785275,-0.28004326611035585
-0.26600887621912295,-0.29651580727624954
-0.28000871199167987,-0.3129502122797317
-0.29400853665685506,-0.32934437901711017
-0.308008350805602,-0.345696375723187
-0.3220081550169349,-0.36200443422794304
-0.33600020595105196,-0.37807997942485516
-0.3500018183518175,-0.39435871354312885
-0.36400417877701535,-0.41060020644176537
-0.37796491099724444,-0.425595450074367
-0.3919667301081065,-0.4417404689455971
-0.4059685735563044,-0.45783153810609745
-0.41997009336968477,-0.4738596663568188
-0.43397179188235024,-0.48983811278105055
-0.447973330483292,-0.5057560903640561
-0.4619748920004154,-0.5216204849277293
-0.4759763932271989,-0.5374274933634742
-0.48996990206992297,-0.5529823720557754
-0.5039709997096846,-0.568671713194361
-0.5179717092962686,-0.5842780877460205
-0.5319731620326313,-0.5998645476813526
-0.5459745524026883,-0.6153938360789816
-0.5599758804327317,-0.630866319055204
-0.5739769687011085,-0.6462783981104159
-0.5879781786333086,-0.6616388300618091
-0.6019793316402086,-0.6769440530565628
-0.6159804293381314,-0.6921947447901713
-0.6299814731769575,-0.7073916577810704
-0.6439824647746767,-0.7225356160974281
-0.6579834056013502,-0.7376275154176171
-0.6719842975256751,-0.75266831939516
-0.685984593449712,-0.7676490319930945
-0.6999854027656881,-0.7825913875339208
-0.7139861690815315,-0.7974859879632429
-0.7279868933705784,-0.8123340786597911
-0.7419875771780523,-0.8271369778454606
-0.755988222084277,-0.8418960771758
-0.7699888298305462,-0.8566128418963196
-0.7839894020558758,-0.8712888143382141
-0.7979899405672771,-0.8859256158001693
-0.811990447128329,-0.900524948833949
-0.8259909237471775,-0.9150886016868193
-0.8399913726022926,-0.9296184527257323
-0.8539917959022838,-0.944116473955706
-0.8679921961907937,-0.9585847382919562
-0.8819925763407103,-0.9730254259987617
-0.8959929394800138,-0.9874408318489444
-0.9099927193492237,-1.0018064887679383
-0.9239930051684271,-1.0161741679631315
-0.9379933357005927,-1.0305270105308555
-0.9519936602554361,-1.0448646611991983
-0.9659939838291883,-1.059190084292618
-0.9799943124268095,-1.0735064283600422
-0.9939946530690847,-1.0878170451358153
-1.0079950139372142,-1.102125512400798
-1.0219954045592679,-1.1164356592222018
-1.0359958361178419,-1.1307515973103155
-1.0499962677951646,-1.1450768098735842
-1.063996464863993,-1.1593970620229348
-1.077997066333682,-1.1737550150457075
-1.0919977631786875,-1.1881379896006101
-1.10599857302649,-1.2025518360524918
-1.1199995079803469,-1.2170026114810806
-1.1340005618229032,-1.2314960034714362
-1.1480017595886127,-1.2460387242165543
-1.1620030542876028,-1.2606348449075535
-1.1760044564994498,-1.2752903727503981
-1.1900057810018998,-1.2900034838582353
-1.2040062684134833,-1.3047042809665175
-1.2180024821000255,-1.3191363105512677
-1.231998887894476,-1.33365421698645
-1.245998249822624,-1.3484594391983982
-1.2599964146406968,-1.363214046080408
-1.273994405847918,-1.378026713019958
-1.2879887284131561,-1.3926391381424583
-1.3019883251307673,-1.4079078061558228
-1.3159879246159254,-1.4233113964286352
-1.32998749896911,-1.4388629237812163
-1.3439870430033476,-1.4545772401250923
-1.3579865505080133,-1.4704707147504832
-1.3719860139731537,-1.4865614526212596
-1.3859854242851282,-1.5028695534226924
-1.3999847703392236,-1.5194174195450332
